,title,artist_name
343,Metropolis,Incognito
344,Don't You Worry 'Bout A Thing,Incognito
345,Expresso Madureira,Incognito
346,Roots,Incognito
347,N.O.T.,Incognito
348,People At The Top,Incognito
349,Blue (I'm Still Here With You),Incognito
350,Sing,Sniff 'n' The Tears
351,New Lines On Love,Sniff 'n' The Tears
352,Slide Away,Sniff 'n' The Tears
353,If I Knew Then,Sniff 'n' The Tears
354,Bad Mood (Roger's Nu Solution Vocal),Lonnie Gordon
355,Stay Together,Lonnie Gordon
356,Ice & Snow,Sambassadeur
357,Between the Lines,Sambassadeur
358,The Only Living Girl,Sambassadeur
359,Stationary,The Matthew Herbert Big Band
360,Tongue Gone Cold,Fun 'Da' Mental
361,Godevil,Fun 'Da' Mental
362,New World Order,Fun 'Da' Mental
363,Seize the Time,Fun 'Da' Mental
364,Sunday School,FUNDAMENTAL
365,Tagai Soul,Fun 'Da' Mental
366,Pollution,Fun 'Da' Mental
367,Spy-cat,Fun 'Da' Mental
368,Race2war,Fun 'Da' Mental
369,Chantilly Lace,The Big Bopper
370,Russian Roulette,Lords Of The New Church
371,New Church,Lords Of The New Church
372,Li'l Boys Play With Dolls,Lords Of The New Church
373,Question Of Temperature,Lords Of The New Church
374,I Could Be So Good For You,Attic Lights
375,Never Get Sick Of The Sea,Attic Lights
376,Microscopic View,Pernice Brothers
377,Cruelty to Animals,Pernice Brothers
378,Starvin'  (LP Version),The Trammps
379,Feet Don't Fail Me Now,The Trammps
380,Stop And Think,The Trammps
381,Love Is A Funky Thing (LP Version),The Trammps
382,Can We Come Together (LP Version),The Trammps
383,Our Love Was Saved By Spacemen,The Pipettes
384,Susie Q,Dale Hawkins
385,Camera (LP Version),Crosby_ Stills & Nash
386,In My Life (LP Version),Crosby_ Stills & Nash
387,Bad Boyz (LP Version),Crosby_ Stills & Nash
388,Street To Lean On  (LP Version),Crosby_ Stills & Nash
389,Long Time Gone [1968 Demo],David Crosby & Stephen Stills
390,Almost Cut My Hair [1969 Demo],David Crosby
391,You Don't Have To Cry [1968 Demo],Stephen Stills
392,Daylight Again  (LP Version),Crosby_ Stills & Nash
393,Straight Line  (LP Version),Crosby_ Stills & Nash
394,Yours And Mine  (LP Version),Crosby_ Stills & Nash
395,(Got To Keep) Open  (LP Version),Crosby_ Stills & Nash
396,Suite: Judy Blue Eyes,Crosby_ Stills & Nash
397,Friend (Touche Pas A Mon Pote),Working Week
398,Sweet Nothing,Working Week
399,Got To Get Better In A Little While,Derek & The Dominos
400,Give 'Em Hell,Witchfynde
401,Indiana Wants Me,R. Dean Taylor
402,My Lady Bug Stay Away From That Beatle,R. Dean Taylor
403,Let's Go Somewhere,R. Dean Taylor
404,Jingle_ Jangle,The Archies
405,Throw A Little Love My Way,The Archies
406,Spanish Harlem,Ben E. King
407,Sweet Rhapsody (LP Version),Ben E. King
408,Let The Water Run Down  ( LP Version),Ben E. King
409,Si Senor (LP Version),Ben E. King
410,Granada (LP Version),Ben E. King
411,Now That We Found Love,Third World
412,Try Jah Love,Third World
413,Now That We've Found Love,Third World
414,Riddim Haffe Rule,Third World
415,Mi Legal,Third World
416,Got To Get Along,Third World
417,Three In One,The Upsetters
418,Dracula,The Upsetters
419,Dub Dat,The Upsetters
420,Communist Daughter,Neutral Milk Hotel
421,Where You'll Find Me Now,Neutral Milk Hotel
422,Naomi,Neutral Milk Hotel
423,Wheel Me Out,Was (Not Was)
424,Shake Your Head,Was (Not Was)
425,Till We Ain't Strangers Anymore - Duet with Bon Jovi,LeAnn Rimes
426,What I Cannot Change,LeAnn Rimes
427,I Want You With Me,LeAnn Rimes
428,The Dead End,Ian McCulloch
429,Fear Of The Known,Ian McCulloch
430,Pots Of Gold,Ian McCulloch
431,Toad,Ian McCulloch
432,Sliding,Ian McCulloch
433,Riding On A Train,The Pasadenas
434,Its Not Goodbye,Lisa Loeb
435,Taffy,Lisa Loeb & Nine Stories
436,Stay (Acoustic) ,Lisa Loeb
437,Why The People Tape?,Lisa Loeb
438,Recording The Purple Tape,Lisa Loeb
439,Underwater Journey,Voice Of The Seven Woods
440,Valley Of The Rocks,Voice Of The Seven Woods
441,Don't Want To Know If You Are Lonely,Husker Du
442,Dead Set On Destruction,Husker Du
443,All This I've Done For You,Husker Du
444,Standing In The Rain,Husker Du
445,Morning,frYars
446,Serinity,Lisa Gerrard
447,In Exile,Lisa Gerrard
448,Space Weaver,Lisa Gerrard
449,Mirror Medusa,Lisa Gerrard
450,Samurai,Crosby & Nash
451,Half Your Angels,Crosby & Nash
452,Don't Dig Here,Crosby & Nash
453,Cowboy Of Dreams,Crosby & Nash
454,Superior Mind,Amy Studt
455,Going Out Of My Mind,Amy Studt
456,Misfit,Amy Studt
457,In My Mind A Miracle,The Zombies
458,Don't Cry for Me,The Zombies
459,I Must Move,The Zombies
460,Is This the Dream,The Zombies
461,Girl Help Me,The Zombies
462,I Know She Will,The Zombies
463,Kind of Girl,The Zombies
464,Monster,Steppenwolf
465,Draft Resister,Steppenwolf
466,From Here To There Eventually,Steppenwolf
467,Berry Rides Again,Steppenwolf
468,Let Your Light In_ Babe,Robert Forster
469,Did She Overtake You,Robert Forster
470,On A Street Corner,Robert Forster
471,The Witch,The Sonics
472,Only She Would Do,The Sonics
473,I'm A Man,The Sonics
474,Love Resurrection,Alison Moyet
475,Blue,Alison Moyet
476,Whispering Your Name,Alison Moyet
477,Another Living Day,Alison Moyet
478,Ode To Boy II,Alison Moyet
479,Love Letters,Alison Moyet
480,Solid Wood,Alison Moyet
481,This House,Alison Moyet
482,Running Scared,Nik Kershaw
483,Roses,Nik Kershaw
484,Not That Big,temposhark
485,Winter's Coming,temposhark
486,The World Does Not Revolve Around You,temposhark
487,The Impossible Dream,Carter USM
488,England,Carter USM
489,The Aftertaste Of Paradise,Carter USM
490,A Bachelor For Baden Powell,Carter USM
491,Stuff The Jubilee (1977),Carter USM
492,Gas (Man),Carter USM
493,Senile Delinquent,Carter USM
494,My Defeatist Attitude,Carter USM
495,Pull Up To The Bumper,Grace Jones
496,Paper Plan (2004 Digital Remaster),Grace Jones
497,Someone To Love (Digitally Remastered 2004),Grace Jones
498,Victor Should Have Been A Jazz Musician (2004 Digital Remaster),Grace Jones
499,What I Did For Love,Grace Jones
500,Man Around The House,Grace Jones
501,Living My Life,Grace Jones
502,All On A Summers Night,Grace Jones
503,Bullshit,Grace Jones
504,Smarty Pants,First Choice
505,The Player,First Choice
506,Hustler Bill,First Choice
507,You Took The Words Right Out Of My Mouth,First Choice
508,This Little Woman,First Choice
509,The Player (Olav Basoski Club Mix),First Choice
510,The Player (Olav Basoski Bonus Beats),First Choice
511,The Player (Olav Basoski Dub),First Choice
512,Three Is A Magic Number,Blind Melon
513,Seed To A Tree (Explicit),Blind Melon
514,Holyman,Blind Melon
515,Soup,Blind Melon
516,John Sinclair,Blind Melon
517,Pull,Blind Melon
518,Soul One,Blind Melon
519,New Life,Blind Melon
520,2 X 4,Blind Melon
521,St. Andrew's Fall,Blind Melon
522,Skinned,Blind Melon
523,Politician,Jack Bruce
524,Without A Word,Jack Bruce
525,Madhouse,Jack Bruce
526,The Boy,Jack Bruce
527,Waiting on a Word,Jack Bruce
528,Kick Start My Heart (LP Version),Alannah Myles
529,Still Got This Thing (LP Version),Alannah Myles
530,If You Want To,Alannah Myles
531,Tumbleweed (LP Version),Alannah Myles
532,Song Instead Of A Kiss (LP Version),Alannah Myles
533,Stood Before Saint Peter,The Icicle Works
534,Up Here In The North Of England,The Icicle Works
535,All The Daughters (Of Her Father's House),The Icicle Works
536,Boonoonoonoos,Boney M.
537,Winter Fairy-Tale,Boney M.
538,Oh Christmas Tree,Boney M.
539,Barbarella Fortuneteller,Boney M.
540,Felicidad,Boney M.
541,When A Child Is Born,Boney M.
542,Love For Sale,Boney M.
543,Let It All Be Music,Boney M.
544,(I Need A) Babysitter,Boney M.
545,Wild Planet,Boney M.
546,10.000 Lightyears,Boney M.
547,Sad Movies,Boney M.
548,Big Girls Don't Cry,The Weather Girls
549,Land Of The Believer,The Weather Girls
550,Dear Santa (Bring Me A Man This Christmas),The Weather Girls
551,Hurt,The Manhattans
552,I'll Never Find Another (Find Another Like You),The Manhattans
553,Don't Take Your Love,The Manhattans
554,We Never Danced To A Love Song,The Manhattans
555,Just One Moment Away,The Manhattans
556,Mistress (Remix),Red House Painters
557,San Geronimo,Red House Painters
558,Strawberry Hill,Red House Painters
559,Brown Eyes,Red House Painters
560,New Jersey,Red House Painters
561,No-One Driving,John Foxx
562,Walk Away,John Foxx
563,Glimmer,John Foxx
564,Stars On Fire,John Foxx
565,Let's Go Steady Again,Neil Sedaka
566,Rosemary Blue,Neil Sedaka
567,Run Samson Run,Neil Sedaka
568,Happy Birthday Sweet Sixteen,Neil Sedaka
569,The Hungry Years,Neil Sedaka
570,Too Many Questions,The Wave Pictures
571,My Kiss,The Wave Pictures
572,Bumble Bee,The Wave Pictures
573,Blink Drunk,The Wave Pictures
574,American Boom,The Wave Pictures
575,Cinnamon Baby,The Wave Pictures
576,Sadness On My Back,Hope Of The States
577,The Red The White The Black The Blue,Hope Of The States
578,All I Needed Was You,Southside Johnny & The Asbury Jukes
579,Halo,Deep Blue Something
580,Josey,Deep Blue Something
581,Breakfast At Tiffany's,Deep Blue Something
582,101,Albert Hammond Jr.
583,GfC,Albert Hammond Jr
584,Everyone Gets A Star,Albert Hammond Jr.
585,It's Only Love,Simply Red
586,The Air That I Breathe (Reprise),Simply Red
587,So Many People,Simply Red
588,Wave The Old World Goodbye,Simply Red
589,Back Into The Universe,Simply Red
590,Picture Book,Simply Red
591,Glory Of Old,Herman Dune
592,I Wish I Had Someone That I Loved Well,Herman Dune
593,Mama Told Me Not To Come,Lou Rawls
594,Not The Staying Kind,Lou Rawls
595,Unforgettable,Lou Rawls
596,Groovy People,Lou Rawls
597,Friendship Train,Gladys Knight & The Pips
598,Theme From 'Valley Of The Dolls',Gladys Knight & The Pips
599,Goodnight My Love,Gladys Knight & The Pips
600,You Need Love Like I Do (Don't You?),Gladys Knight & The Pips
601,Lazy,Moe Tucker
602,I'm Waiting For The Man,Moe Tucker
603,That's Bad,Moe Tucker
604,In Love With Music (LP Version),Chic
605,Happy Man  (LP Version),Chic
606,Chic Cheer (LP Version),Chic
607,(Funny) Bone  (LP Version),Chic
608,Est-Ce Que C'est Chic (LP Version),Chic
609,"Everybody Dance (12"" Mix)",Chic
610,I Loved You More (LP Version),Chic
611,Hangin' (Album Version),Chic
612,How Can I Be Sure,David Cassidy
613,I Think I Love You,David Cassidy
614,Be-Bop-A-Lula,David Cassidy
615,Get It Up For Love,David Cassidy
616,Change With the Times,Van McCoy
617,Theme From Star Trek,Van McCoy
618,Keep on Hustlin',Van McCoy
619,They Wouldn't Dare,Angel Witch
620,White Witch,Angel Witch
621,Scrape the Well,Angel Witch
622,Eternally,Looker
623,Green Mountain,Looker
624,After My Divorce,Looker
625,Gentle Moon,Sun Kil Moon
626,Last Tide,Sun Kil Moon
627,Somewhere (Version 2),Sun Kil Moon
628,Neverending Math Equation,Sun Kil Moon
629,Trucker's Atlas,Sun Kil Moon
630,Jesus Christ Was An Only Child,Sun Kil Moon
631,I'm Shooting Cupid,Voice Of The Beehive
632,Jesus,Voice Of The Beehive
633,Moon of Dust,Voice Of The Beehive
634,Playing House,Voice Of The Beehive
635,I Walk The Earth,Voice Of The Beehive
636,Pot Kettle Black,Tilly & The Wall
637,Two Glasses Of Wine,Tilly & The Wall
638,Sugar Pill,Ambulance Ltd
639,Anecdote,Ambulance Ltd
640,Messin' With The Kid (Live Version),The Blues Brothers
641,Jailhouse Rock,The Blues Brothers
642,Everybody Needs Somebody To Love,The Blues Brothers
643,Sweet Soul Dream,World Party
644,Show Me To The Top,World Party
645,Put The Message In The Box,World Party
646,Is It Too Late?,World Party
647,Ship Of Fools,World Party
648,World Party,World Party
649,Baby (Don't You Leave Me),Marvin Gaye / Kim Weston
650,I Couldn't Help Falling For You,Marvin Gaye / Kim Weston
651,Children (2002 Digital Remaster),Joe South
652,How Can This Be Real Love,Sinitta
653,Find Another Fool,The Marcels
654,Good To Me,Irma Thomas
655,Cry On,Irma Thomas
656,It's Raining,Irma Thomas
657,Cold Rain,Irma Thomas / David Torkanowski
658,Overrated,Irma Thomas / Davell Crawford
659,Long After Tonight Is All Over (1992 Digital Remaster),Irma Thomas
660,Girl Needs Boy,Irma Thomas
661,No Use Talkin',Irma Thomas
662,We All Need Love,Irma Thomas
663,I Won't Cry For You,Irma Thomas
664,All I Know Is The Way I Feel,Irma Thomas
665,You Can Think Twice,Irma Thomas
666,Old Records,Irma Thomas
667,Florida Room (Album Version),Donald Fagen
668,What I Do (Album Version),Donald Fagen
669,I.G.Y. (Album Version),Donald Fagen
670,This Love Is Not Wrong,The Field Mice
671,September's Not So Far Away,The Field Mice
672,White,The Field Mice
673,Interlude No. 2 (LP Version),Warren Zevon
674,Jeannie Needs A Shooter (LP Version),Warren Zevon
675,Frozen Notes (Previously Unissued Strings Version),Warren Zevon
676,Night Time In The Switching Yard (2007 Remastered LP Version),Warren Zevon
677,Searching For A Heart,Warren Zevon
678,Jesus Was A Cross Maker,Warren Zevon
679,Monkey Wash Donkey Rinse,Warren Zevon
680,Mutineer,Warren Zevon
681,Join Me In L.A.,Warren Zevon
682,Little Sally Tease,The Kingsmen
683,Sleeper Hold,No Age
684,Sun Spots,No Age
685,Dead Plane,No Age
686,No lip,Sid Vicious_ the Idols
687,Search and destroy,Sid Vicious_ the Idols
688,Lauren's Theme,Cutting Crew
689,Grinning Souls,Cutting Crew
690,Understudies,Cutting Crew
691,Silhouette,Cutting Crew
692,One For The Mockingbird,Cutting Crew
693,(I Just) Died In Your Arms (Extended Remix),Cutting Crew
694,Reach For The Sky,Cutting Crew
695,Everything But My Pride,Cutting Crew
696,Year In The Wilderness,Cutting Crew
697,Man in the Middle,Flash And The Pan
698,Secret Love (You're Invisible),Swing Out Sister
699,My State of Mind,Swing Out Sister
700,Filth and Dreams,Swing Out Sister
